,index,rt,stimulus,key_press,name,trial_type,trial_index,time_elapsed,internal_node_id,response,certainty,char,set,transposition,order,shift_amount,shift_position,probe_pitches,shifted_pitches,swapped_pitches,shift_direction,question_num,has_decoy,subject,sona_x,block,time,malformed,option_1,option_2,chose,Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,Q16.1,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,section,Cardinal Name,ID,Major and Minor triads,Rothenberg Propriety,Lerdahl Instable Modes,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Consecutive semitones,Subset of Diatonic,Subset of MOLT,# Transpositions,Spread Unevenness,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,# Diagnostic Intervals,Semitone Set Violations,# Segments,Scale Degree Clarity,Motive Strength,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Stackable with 3rds,Scalar Pentachord,Imperfections,Polygon Area,Inverse Card. name,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Unique Diads,Total Diads,Sameness Quotient,Coherence Quotient,Prime Form?,Note 2,Note 3,Note 4,Note 5
0,0,5427.915000007488,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,13,162097,0.0-13.0,2nd,high,L,0 2 4 6 7,-3,"['shifted', 'swapped']",-1,7,3 -2 5 9 5 9 3 5 9 3 9 3,3 -2 5 9 5 9 3 4 9 3 9 3,3 -2 5 9 5 3 9 5 9 3 9 3,down,1,False,SSS0002,39501,1,2020-09-28 22:10:57.855000+00:00,probe doesn't include all set's notes.,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
1,7,1362.0999999984633,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,90,323314,0.0-90.0,2nd,high,L,0 2 4 6 7,1,"['shifted', 'swapped']",-1,7,3 4 9 11 3 13 9 11 13 1 3 11,3 4 9 11 3 13 9 10 13 1 3 11,3 4 9 11 3 9 13 11 13 1 3 11,down,71,False,SSS0002,39501,1,2020-09-28 22:10:57.855000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
2,24,3785.0499999913154,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,54,126749,0.0-54.0,neither,high,G,0 2 4 6 7,1,"['shifted', 'swapped']",-1,7,13 9 13 11 13 9 11 7 1 2 1 7,13 9 13 11 13 9 11 6 1 2 1 7,13 9 13 11 13 11 9 7 1 2 1 7,down,41,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,,shifted,swapped,neither,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
3,25,494.67500000901055,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,65,146378,0.0-65.0,2nd,high,L,0 2 4 6 7,3,"['swapped', 'shifted']",1,7,15 13 7 15 13 15 7 13 3 8 13 5,15 13 7 15 13 15 7 14 3 8 13 5,15 13 7 15 13 7 15 13 3 8 13 5,up,51,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
4,36,787.1199999935925,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,186,384662,0.0-186.0,2nd,high,L,0 2 4 6 7,3,"['swapped', 'shifted']",1,7,10 15 10 9 15 7 9 10 15 9 3 15,10 15 10 9 15 7 9 11 15 9 3 15,10 15 10 9 15 9 7 10 15 9 3 15,up,161,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,probe doesn't include all set's notes.,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
5,39,477.3600000042934,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,219,445568,0.0-219.0,2nd,high,L,0 2 4 6 7,-1,"['swapped', 'shifted']",1,6,11 9 4 1 3 1 9 4 9 1 3 11,11 9 4 1 3 1 10 4 9 1 3 11,11 9 4 1 3 9 1 4 9 1 3 11,up,191,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
6,43,4082.5600000098348,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,43,273576,0.0-43.0,2nd,high,L,0 2 4 6 7,3,"['swapped', 'shifted']",-1,6,3 8 12 8 14 10 8 15 10 14 15 14,3 8 12 8 14 10 7 15 10 14 15 14,3 8 12 8 14 8 10 15 10 14 15 14,down,31,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
7,44,1827.7450000022072,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,54,296411,0.0-54.0,2nd,high,L,0 2 4 6 7,2,"['shifted', 'swapped']",-1,7,12 8 12 8 3 12 10 2 12 14 2 10,12 8 12 8 3 12 10 1 12 14 2 10,12 8 12 8 3 10 12 2 12 14 2 10,down,41,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
8,52,1550.5350000022445,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,142,455995,0.0-142.0,neither,high,G,0 2 4 6 7,-1,"['swapped', 'shifted']",-1,7,6 11 6 8 4 10 -1 6 10 -1 6 11,6 11 6 8 4 10 -1 5 10 -1 6 11,6 11 6 8 4 -1 10 6 10 -1 6 11,down,121,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,swapped,shifted,neither,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
9,54,1331.0250000068918,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,164,511976,0.0-164.0,2nd,high,L,0 2 4 6 7,-2,"['shifted', 'swapped']",1,6,8 6 1 -2 1 0 6 1 6 -2 0 10,8 6 1 -2 1 0 7 1 6 -2 0 10,8 6 1 -2 1 6 0 1 6 -2 0 10,up,141,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
