Cardinal Name,ID,set,Major and Minor triads,Rothenberg Propriety,Lerdahl Instable Modes,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Consecutive semitones,Subset of Diatonic,Subset of MOLT,# Transpositions,Spread Unevenness,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,# Diagnostic Intervals,Semitone Set Violations,# Segments,Scale Degree Clarity,Motive Strength,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Stackable with 3rds,Scalar Pentachord,Imperfections,Polygon Area,Inverse Card. name,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Unique Diads,Total Diads,Sameness Quotient,Coherence Quotient,Prime Form?,Note 2,Note 3,Note 4,Note 5
31,0,0 1 2 3 4,0,improper,0,2,4,3,2,1,0,0,4,false,1,12,1,3,6,10,0.3009374400763299,0.6233585939624566,0.32916412555376956,1,2,2,0,5,4,5,false,true,5,0.180477662328345,31,0,0,0,4,10,0.5,0.4,1,1,2,3,4
47,1,0 1 2 3 5,0,improper,1,3,3,3,2,1,1,0,3,false,1,12,0.8214285714285714,5,8,12,0.2695733784707302,0.5325957055787991,0.2695733784707302,3,4,3,0.2,4,3,4,false,true,4,0.2969871669473473,61,0,0,0,5,13,0.19999999999999996,0.16000000000000003,1,1,2,3,5
79,2,0 1 2 3 6,0,improper,1,3,3,2,2,1,1,1,3,false,2,12,0.7499999999999999,5,9,10,0.22045864365620066,0.4734972610087366,0.22045864365620066,4,4,3,0.2,4,3,4,false,false,4,0.3978873577297436,121,0,0,0,6,13,0.19999999999999996,0.07999999999999996,1,1,2,3,6
143,3,0 1 2 3 7,1,improper,2,3,3,2,1,1,2,1,3,false,2,12,0.7499999999999999,5,9,10,0.19603604618079667,0.4460850542907812,0.19603604618079667,4,4,3,0.2,4,3,4,false,false,3,0.45614211003924476,241,0,0,0,6,13,0.19999999999999996,0.19999999999999996,1,1,2,3,7
55,4,0 1 2 4 5,0,improper,0,3,3,2,2,2,1,0,2,false,2,12,0.8214285714285714,4,9,10,0.27193611726654515,0.4845520074696922,0.27193611726654515,2,4,4,0.2,4,3,4,false,true,4,0.29698716694734734,59,0,0,0,5,12,0.25,0.31999999999999995,1,1,2,4,5
87,5,0 1 2 4 6,0,improper,0,3,2,3,1,2,1,1,2,false,3,12,0.6428571428571428,5,9,12,0.22313345865922168,0.42089708108976176,0.22313345865922168,4,6,3,0.6,3,2,3,false,true,4,0.4348193908027971,117,0,0,0,6,14,0.09999999999999998,0.16000000000000003,1,1,2,4,6
151,6,0 1 2 4 7,1,improper,0,4,2,2,2,1,2,1,2,false,2,12,0.5714285714285715,5,10,10,0.1852032145557887,0.3787628995362852,0.1852032145557887,5,6,4,0.4,3,2,3,false,false,3,0.5357195815851935,233,0,0,0,6,17,0.050000000000000044,0.19999999999999996,1,1,2,4,7
279,7,0 1 2 4 8,1,improper,1,3,2,2,1,3,1,1,2,false,3,12,0.5714285714285715,5,10,12,0.17036218932657554,0.3597083640844547,0.17036218932657554,4,6,3,0.4,3,3,4,false,false,4,0.572651614658247,285,0,0,0,6,16,0.09999999999999998,0.19999999999999996,1,1,2,4,8
103,8,0 1 2 5 6,0,improper,1,3,3,1,1,2,2,1,2,false,3,12,0.7500000000000001,4,9,10,0.222695970738313,0.3981473914652769,0.222695970738313,3,4,4,0.6,4,3,3,false,false,3,0.39788735772974354,115,0,0,0,6,11,0.25,0.31999999999999995,1,1,2,5,6
167,9,0 1 2 5 7,0,improper,0,4,2,2,1,1,3,1,2,false,2,12,0.5714285714285715,5,9,12,0.18264484676638976,0.34903935465245367,0.18264484676638976,5,6,4,0.4,3,2,4,false,false,2,0.5357195815851935,229,0,0,0,6,16,0.050000000000000044,0.28,1,1,2,5,7
